CODIGO	NOME_FUNDO	TIPO_PRODUTO	CEDENTE	SACADO	LIMITE_CEDENTE	ESTADO_CEDENTE	ESTADO_SACADO	VENCIMENTO	DATA_EMISSAO	DATA_PAGAMENTO	VALOR_REAL	VALOR_DESAGIO	TAXA_MENSAL	RISCO_1	RISCO_2	RISCO_3	RISCO_4	RISCO_5	RISCO_6	RISCO_7	RISCO_8	RISCO_9	RISCO_10	RISCO_11	RISCO_12	RISCO_13	RISCO_14	RISCO_15	RISCO_16	RISCO_17	RISCO_18	RISCO_19	RISCO_20	RISCO_21	STATUS_LIQ_TITULO
9309	Fundo 1	Produto 1	Cedente 19	Sacado 3181	4464286	RS	PR	2018-07-01	2018-05-06	2018-07-01	2587.21	107.2256044	0.02199301	0.067381	0.333333	0		0		0.000125	0.990736888	0.002508	0.021523	0		0.470074	0	0.066667	0.2	0.016206	0.014988	0.382716	0.859067	0.988373	EM_DIA
9310	Fundo 1	Produto 1	Cedente 19	Sacado 6229	4464286	RS	SC	2018-02-15	2018-01-05	2018-02-15	844.16	72.96030333	0.062533396	0.062779	0.333333	0		0		0	0.503872537	0.001909	0.007174	0		0.466711	0	0.266667	0.4	0.00779	0.007042	0.382716	0.950276	0.569135	EM_DIA
9311	Fundo 2	Produto 3	Cedente 19	Sacado 1273	4464286	RS	RS	2018-04-30	2017-09-28	2018-04-30	125000	21633.79872	0.022629526	0.058681	0.333333	0		0		0	0.078332647	0.000938	0.003863	0		0.567586	0	0.2	0.6	0.006647	0.005928	0.382716	0.978635	0.804866	EM_DIA
9312	Fundo 1	Produto 1	Cedente 2	Sacado 847	10000000	CE	RS	2018-08-19	2018-03-26	2018-08-21	234	27.00710104	0.022697558	0.046926	1	0		0		0	0.119537035	0.000313	0.003311	0		0.065905	0	0.133333	0.4	0.946039	0.950397	0.382716	0.868756	0.772794	ATRASO
9313	Fundo 1	Produto 1	Cedente 19	Sacado 3231	4464286	RS	SP	2018-04-12	2018-03-19	2018-04-12	1316.42	64.72323596	0.061830782	0.06553	0.333333	0		0.00722	0.018409	0	0.147849002	0.002813	0.006623	0		0.397445	0	0.133333	0.2	0.03	0.027587	0.382716	0.92007	0.396185	EM_DIA
9314	Fundo 1	Produto 1	Cedente 19	Sacado 6230	4464286	RS	RS	2018-05-18	2018-05-07	2018-05-20	6397.19	183.2815383	0.080084023	0.067381	0.333333	0		0		0.000125	0.861013863	0.002508	0.021523	0		0.470074	0	0.066667	0.2	0.016206	0.014988	0.382716	0.859067	0.963069	ATRASO
9315	Fundo 1	Produto 1	Cedente 19	Sacado 984	4464286	RS	SC	2018-04-26	2018-03-28	2018-04-26	302.48	21.84239406	0.074791988	0.06553	0.333333	0		0		0	0.834906911	0.001902	0.000552	0		0.39072	0	0.066667	0.2	0.03	0.027587	0.382716	0.949101	0.841604	EM_DIA
9316	Fundo 1	Produto 1	Cedente 19	Sacado 953	4464286	RS	SC	2018-05-12	2018-03-29	2018-05-12	7973.9	306.0247278	0.026009892	0.06553	0.333333	0		0		0	0.787457628	0.001902	0.000552	0		0.39072	0	0.066667	0.2	0.03	0.027587	0.382716	0.949101	0.977345	EM_DIA
9317	Fundo 1	Produto 1	Cedente 2	Sacado 965	10000000	CE	MT	2018-08-08	2018-05-30	2018-08-05	334	28.0606149	0.035177734	0.055253	1	0.10385	0.025707	0		0.000002	0.380212992	0.000169	0.005519	0		0.266308	0	0	0	0.199913	0.199939	0.382716	0.872644	0.595599	EM_DIA
9318	Fundo 1	Produto 1	Cedente 19	Sacado 4482	4464286	RS	MG	2018-04-11	2018-01-24	2018-04-13	735.58	74.97759662	0.038540946	0.063517	0.333333	0		0		0	0.79618365	0.001287	0.005519	0		0.466711	0	0.133333	0.4	0.022494	0.020464	0.37037	0.959334	0.993135	ATRASO
9319	Fundo 1	Produto 1	Cedente 19	Sacado 6231	4464286	RS	PR	2018-02-01	2018-01-05	2018-02-02	384.96	10.83567075	0.03132353	0.062779	0.333333	0		0		0	0.054100935	0.001909	0.007174	0		0.466711	0	0.266667	0.4	0.00779	0.007042	0.382716	0.950276	0.980727	ATRASO
9320	Fundo 1	Produto 1	Cedente 19	Sacado 6232	4464286	RS	DF	2018-01-31	2017-12-28	2018-01-31	5737.32	176.4282539	0.027084697	0.062118	0.333333	0		0		0	0.550720367	0.002123	0.003311	0		0.524546	0	0.266667	0.6	0.015161	0.01368	0.382716	0.950709	0.616715	EM_DIA
9321	Fundo 2	Produto 1	Cedente 2	Sacado 1170	10000000	CE	SP	2018-08-08	2018-04-30	2018-08-08	378.21	55.89039745	0.0422146	0.05058	1	0		0		0	0.934152943	0.000002	0.004415	0		0.163416	0	0.066667	0.2	0.890823	0.877865	0.382716	0.88564	0.98651	EM_DIA
9322	Fundo 1	Produto 1	Cedente 19	Sacado 6233	4464286	RS	PR	2018-05-11	2018-04-22	2018-05-11	10845.26	716.0422097	0.106222005	0.066765	0.333333	0		0		0.000125	0.473864601	0.002994	0.013245	0		0.436449	0	0.333333	0.6	0.015129	0.013966	0.382716	0.861136	0.008414	EM_DIA
9323	Fundo 1	Produto 1	Cedente 2	Sacado 408	10000000	CE	SC	2018-08-09	2018-07-11	2018-08-09	1035.23	38.07538231	0.038071746	0.060341	1	0.221519	0.021851	0		0	0.293919115	0.015915	0.002759	0		0.554136	0	0.133333	0.4	0.246967	0.247353	0.37037	0.871396	0.996417	EM_DIA
9324	Fundo 1	Produto 1	Cedente 19	Sacado 984	4464286	RS	SC	2018-03-01	2018-02-01	2018-03-01	3074.16	162.8787957	0.056873402	0.063517	0.333333	0		0		0	0.958301174	0.001918	0.005519	0		0.466711	0	0.133333	0.4	0.010569	0.009863	0.37037	0.93522	0.669221	EM_DIA
9325	Fundo 1	Produto 1	Cedente 19	Sacado 1519	4464286	RS	RS	2018-03-03	2018-02-15	2018-03-02	525.97	16.80454734	0.060741811	0.064137	0.333333	0		0.000463	0.03461	0	0.366712141	0.001394	0.002759	0		0.447209	0	0	0	0.007332	0.006677	0.382716	0.958308	0.576231	EM_DIA
9326	Fundo 1	Produto 1	Cedente 19	Sacado 1505	4464286	RS	MG	2018-03-16	2018-01-16	2018-03-16	2038.42	208.3384667	0.05072609	0.062935	0.333333	0		0.000182	0.022091	0	0.665158305	0.001288	0.001656	0		0.466711	0	0.066667	0.2	0.014622	0.013179	0.358025	0.96835	0.623931	EM_DIA
9327	Fundo 1	Produto 1	Cedente 19	Sacado 6234	4464286	RS	SC	2018-03-15	2018-02-27	2018-03-17	3101.28	105.0913457	0.064477719	0.064718	0.333333	0		0		0	0.656393936	0.001399	0.001104	0		0.447209	0	0.133333	0.4	0.015285	0.013955	0.382716	0.955893	0.937906	ATRASO
9328	Fundo 1	Produto 1	Cedente 19	Sacado 6235	4464286	RS	PR	2018-03-16	2018-02-26	2018-03-19	3207.01	123.3752347	0.064936217	0.064718	0.333333	0		0		0	0.301287169	0.001399	0.001104	0		0.447209	0	0.133333	0.4	0.015285	0.013955	0.382716	0.955893	0.994996	ATRASO
9329	Fundo 1	Produto 1	Cedente 19	Sacado 983	4464286	RS	SC	2018-01-30	2017-11-05	2018-02-01	240.18	21.59346819	0.030487196	0.060285	0.333333	0		0.007655	0.018409	0	0.47353046	0.002071	0.007174	0		0.520511	0	0.333333	0.6	0.0144	0.012883	0.382716	0.949183	0.991582	ATRASO
9330	Fundo 1	Produto 1	Cedente 19	Sacado 6236	4464286	RS	RS	2018-01-31	2017-12-02	2018-01-31	2131.63	122.4644187	0.028324398	0.061144	0.333333	0		0.005854	0.007364	0	0.615338916	0.002154	0.010486	0		0.520511	0	0.333333	0.6	0.010257	0.009419	0.382716	0.950444	0.989231	EM_DIA
